('Total Revenue', '318,273,000', '281,724,000', '245,122,000', '211,915,000', '198,270,000')
         1158513 function calls (1124402 primitive calls) in 3.667 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      114    0.000    0.000    0.004    0.000 typing.py:1658(copy_with)
      114    0.000    0.000    0.000    0.000 {method 'isdigit' of 'str' objects}
      112    0.000    0.000    0.000    0.000 ipaddress.py:574(__int__)
      111    0.000    0.000    0.000    0.000 enum.py:921(<lambda>)
      108    0.000    0.000    0.000    0.000 {method 'lower' of 'bytes' objects}
      107    0.000    0.000    0.000    0.000 constant.py:417(<lambda>)
      107    0.000    0.000    0.000    0.000 {built-in method builtins.all}
      106    0.000    0.000    0.000    0.000 dataclasses.py:691(_is_classvar)
      106    0.000    0.000    0.000    0.000 dataclasses.py:705(_is_kw_only)
      106    0.000    0.000    0.000    0.000 dataclasses.py:699(_is_initvar)
      105    0.000    0.000    0.001    0.000 enum.py:1059(_add_member_)
      105    0.000    0.000    0.001    0.000 typing.py:351(_deduplicate)
      105    0.000    0.000    0.000    0.000 filter.py:492(_make_match_rules)
      102    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
      101    0.000    0.000    0.000    0.000 enum.py:799(<genexpr>)
      100    0.000    0.000    0.001    0.000 typing.py:379(_remove_dups_flatten)
      100    0.001    0.000    0.009    0.000 typing.py:753(Union)
       99    0.000    0.000    0.000    0.000 enum.py:69(_is_internal_class)
       99    0.000    0.000    0.000    0.000 enum.py:248(__init__)
       99    0.001    0.000    0.003    0.000 enum.py:251(__set_name__)
       99    0.000    0.000    0.000    0.000 {built-in method _sre.ascii_tolower}
       98    0.001    0.000    0.001    0.000 typing.py:3794(__getattr__)
       98    0.000    0.000    0.000    0.000 dammit.py:197(<genexpr>)
       98    0.000    0.000    0.151    0.002 utils.py:265(is_multi_byte_encoding)
       97    0.000    0.000    0.000    0.000 <frozen abc>:7(abstractmethod)
       96    0.000    0.000    0.000    0.000 {method '__contains__' of 'frozenset' objects}
       94    0.000    0.000    0.001    0.000 dataclasses.py:437(add_fn)
       94    0.000    0.000    0.000    0.000 {built-in method sys.intern}
       92    0.000    0.000    0.000    0.000 <frozen os>:735(__iter__)
       91    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1285(_sanity_check)
       91    0.000    0.000    0.150    0.002 <frozen importlib._bootstrap>:1375(_gcd_import)
       91    0.000    0.000    0.151    0.002 __init__.py:71(import_module)
       89    0.000    0.000    0.000    0.000 _parser.py:303(checkgroupname)
       89    0.000    0.000    0.000    0.000 _parser.py:273(getuntil)
       88    0.000    0.000    0.005    0.000 <frozen abc>:105(__new__)
       88    0.000    0.000    0.000    0.000 ipaddress.py:1213(_parse_octet)
       88    0.001    0.000    0.001    0.000 {built-in method _abc._abc_init}
