('Total Revenue', '318,273,000', '281,724,000', '245,122,000', '211,915,000', '198,270,000')
         1139846 function calls (1105635 primitive calls) in 3.588 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      348    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:372(release)
        1    0.000    0.000    0.003    0.003 retry.py:1(<module>)
        1    0.000    0.000    0.002    0.002 sessions.py:511(prepare_request)
     1130    0.001    0.000    0.002    0.000 _parser.py:311(_class_escape)
       52    0.000    0.000    0.002    0.000 <frozen abc>:105(__new__)
        1    0.000    0.000    0.002    0.002 bz2.py:1(<module>)
        2    0.000    0.000    0.002    0.001 glob.py:1(<module>)
        1    0.000    0.000    0.002    0.002 poolmanager.py:1(<module>)
       48    0.000    0.000    0.002    0.000 typing.py:1634(__getitem__)
     4602    0.002    0.000    0.002    0.000 __init__.py:290(can_be_empty_element)
      376    0.000    0.000    0.002    0.000 enum.py:1156(__new__)
     4401    0.002    0.000    0.002    0.000 _parser.py:292(tell)
      930    0.001    0.000    0.002    0.000 _compiler.py:214(_compile_charset)
    14918    0.002    0.000    0.002    0.000 typing.py:2371(cast)
      313    0.000    0.000    0.002    0.000 typing.py:164(_type_convert)
        1    0.000    0.000    0.002    0.002 decoder.py:1(<module>)
      295    0.002    0.000    0.002    0.000 _compiler.py:389(_mk_bitmap)
      977    0.002    0.000    0.002    0.000 _parser.py:448(_uniq)
    14620    0.002    0.000    0.002    0.000 {built-in method builtins.min}
        1    0.000    0.000    0.002    0.002 charset.py:1(<module>)
     4602    0.002    0.000    0.002    0.000 __init__.py:636(set_up_substitutions)
        1    0.002    0.002    0.002    0.002 models.py:1049(text)
        1    0.000    0.000    0.002    0.002 selectors.py:1(<module>)
      846    0.001    0.000    0.002    0.000 typing.py:1368(__setattr__)
       17    0.002    0.000    0.002    0.000 {built-in method builtins.eval}
        1    0.000    0.000    0.002    0.002 lzma.py:1(<module>)
      289    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:190(_path_abspath)
        1    0.000    0.000    0.002    0.002 ipaddress.py:1(<module>)
       14    0.002    0.000    0.002    0.000 enum.py:1459(_missing_)
     1022    0.001    0.000    0.002    0.000 _compiler.py:401(_simple)
       59    0.000    0.000    0.002    0.000 parser.py:171(set_cdata_mode)
       65    0.000    0.000    0.002    0.000 typing.py:1023(__init__)
       24    0.000    0.000    0.002    0.000 typing.py:806(Optional)
        2    0.000    0.000    0.002    0.001 cookies.py:135(extract_cookies_to_jar)
        1    0.000    0.000    0.002    0.002 client.py:231(_parse_header_lines)
        1    0.002    0.002    0.002    0.002 client.py:819(HTTPConnection)
      200    0.001    0.000    0.002    0.000 enum.py:1607(__and__)
        1    0.000    0.000    0.002    0.002 idna.py:1(<module>)
        2    0.000    0.000    0.002    0.001 cookiejar.py:1681(extract_cookies)
        1    0.000    0.000    0.002    0.002 parser.py:56(parsestr)
       65    0.002    0.000    0.002    0.000 {built-in method builtins.compile}
        1    0.000    0.000    0.002    0.002 traceback.py:1(<module>)
        1    0.000    0.000    0.002    0.002 encoder.py:1(<module>)
       28    0.000    0.000    0.002    0.000 enum.py:251(__set_name__)
      289    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:177(_path_isabs)
     5232    0.002    0.000    0.002    0.000 {method 'pop' of 'list' objects}
      306    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:982(find_spec)
     4279    0.002    0.000    0.002    0.000 {method 'find' of 'str' objects}
     9298    0.002    0.000    0.002    0.000 {built-in method builtins.ord}
        1    0.000    0.000    0.002    0.002 mimetypes.py:1(<module>)
       53    0.000    0.000    0.002    0.000 typing.py:1658(copy_with)
        1    0.000    0.000    0.002    0.002 parser.py:41(parse)
     1385    0.001    0.000    0.002    0.000 _parser.py:171(__setitem__)
        1    0.000    0.000    0.002    0.002 error.py:1(<module>)
        1    0.000    0.000    0.002    0.002 calendar.py:1(<module>)
        1    0.000    0.000    0.002    0.002 __init__.py:135(BeautifulSoup)
      199    0.000    0.000    0.002    0.000 css_types.py:360(__init__)
     1226    0.001    0.000    0.002    0.000 {built-in method builtins.setattr}
      132    0.000    0.000    0.002    0.000 typing.py:1307(__init__)
      774    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:89(_unpack_uint32)
     4488    0.002    0.000    0.002    0.000 {method 'keys' of 'dict' objects}
     4830    0.002    0.000    0.002    0.000 {method 'strip' of 'str' objects}
        1    0.000    0.000    0.001    0.001 utils.py:231(get_netrc_auth)
        1    0.000    0.000    0.001    0.001 __init__.py:477(StrFormatStyle)
        1    0.000    0.000    0.001    0.001 _local.py:1(<module>)
       40    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:463(_lock_unlock_module)
        1    0.000    0.000    0.001    0.001 __meta__.py:1(<module>)
        1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap>:1171(exec_module)
